
Region,Province,Url,Bank,BranchCode,Address,PostalCode
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-2349.html,BBVA,2349,"Dato, 12-semisotano de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-4933.html,BBVA,4933,"Prado, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-5672.html,BBVA,5672,"Eduardo Dato, 12 Pl. 1. de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-5685.html,BBVA,5685,"Eduardo Dato, 12 Semisotano de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6749.html,BBVA,6749,"Portal de Foronda, 20 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6800.html,BBVA,6800,"Dato, 12 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6801.html,BBVA,6801,"Plaza de Bilbao, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6806.html,BBVA,6806,"Plaza Gregorio Altube, 5 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6807.html,BBVA,6807,"Avenida Judizmendi, 22 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6808.html,BBVA,6808,"Jose Miguel Barandiaran, 6 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6809.html,BBVA,6809,"Blas de Otero, 1-3 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-6873.html,BBVA,6873,"Avenida Zabalgana, 26 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bankinter-0320.html,Bankinter,0320,"Postas,37-39 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bbva-5534.html,BBVA,5534,"Avenida de Gazteiz, 74 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/deutsche-bank-0601.html,Deutsche Bank,0601,"General Alava, 16 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-1591.html,Banesto,1591,Eduardo Dato 43 Bajo de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-1927.html,Banesto,1927,General Alava 10 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-1936.html,Banesto,1936,Postas 22 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3441.html,Banesto,3441,Postas 22 3. Planta de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3452.html,Banesto,3452,Canciller Ayala 9 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3458.html,Banesto,3458,Domingo Beltran 50 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3460.html,Banesto,3460,Francia 25 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3462.html,Banesto,3462,Adriano Vi 13 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3464.html,Banesto,3464,Portal de Castilla 56 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3467.html,Banesto,3467,Avenida Gasteiz 66 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3482.html,Banesto,3482,Postas 22 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3490.html,Banesto,3490,Postas 22 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-3496.html,Banesto,3496,Postas 22 3.planta de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-5305.html,Banesto,5305,Postas 22 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-6736.html,Banesto,6736,General Alava 10 Piso 5 Local 09 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-8860.html,Banesto,8860,Postas 22 de Vitoria-gazteiz.,01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banesto-8863.html,Banesto,8863,Postas 22 de Vitoria-gazteiz.,01000
